,concept:name,time:timestamp,case:concept:name
0,A_SUBMITTED,1970-04-27 01:46:41,0
1,A_PARTLYSUBMITTED,1970-04-27 01:46:42,0
2,A_DECLINED,1970-04-27 01:46:43,0
3,A_SUBMITTED,1970-04-27 01:46:44,1
4,A_PARTLYSUBMITTED,1970-04-27 01:46:45,1
5,A_DECLINED,1970-04-27 01:46:46,1
6,A_SUBMITTED,1970-04-27 01:46:47,2
7,A_PARTLYSUBMITTED,1970-04-27 01:46:48,2
8,A_PREACCEPTED,1970-04-27 01:46:49,2
9,W_Completeren aanvraag,1970-04-27 01:46:50,2
10,W_Completeren aanvraag,1970-04-27 01:46:51,2
11,W_Completeren aanvraag,1970-04-27 01:46:52,2
12,W_Completeren aanvraag,1970-04-27 01:46:53,2
13,A_CANCELLED,1970-04-27 01:46:54,2
14,W_Completeren aanvraag,1970-04-27 01:46:55,2
15,A_SUBMITTED,1970-04-27 01:46:56,3
16,A_PARTLYSUBMITTED,1970-04-27 01:46:57,3
17,W_Afhandelen leads,1970-04-27 01:46:58,3
18,W_Afhandelen leads,1970-04-27 01:46:59,3
19,A_PREACCEPTED,1970-04-27 01:47:00,3
20,W_Completeren aanvraag,1970-04-27 01:47:01,3
21,W_Afhandelen leads,1970-04-27 01:47:02,3
22,W_Completeren aanvraag,1970-04-27 01:47:03,3
23,W_Completeren aanvraag,1970-04-27 01:47:04,3
24,W_Completeren aanvraag,1970-04-27 01:47:05,3
25,W_Completeren aanvraag,1970-04-27 01:47:06,3
26,W_Completeren aanvraag,1970-04-27 01:47:07,3
27,A_DECLINED,1970-04-27 01:47:08,3
28,W_Completeren aanvraag,1970-04-27 01:47:09,3
29,A_SUBMITTED,1970-04-27 01:47:10,4
30,A_PARTLYSUBMITTED,1970-04-27 01:47:11,4
31,A_PREACCEPTED,1970-04-27 01:47:12,4
32,W_Completeren aanvraag,1970-04-27 01:47:13,4
33,W_Completeren aanvraag,1970-04-27 01:47:14,4
34,W_Completeren aanvraag,1970-04-27 01:47:15,4
35,W_Completeren aanvraag,1970-04-27 01:47:16,4
36,W_Completeren aanvraag,1970-04-27 01:47:17,4
37,W_Completeren aanvraag,1970-04-27 01:47:18,4
38,W_Completeren aanvraag,1970-04-27 01:47:19,4
39,W_Completeren aanvraag,1970-04-27 01:47:20,4
40,A_CANCELLED,1970-04-27 01:47:21,4
41,A_SUBMITTED,1970-04-27 01:47:22,5
42,A_PARTLYSUBMITTED,1970-04-27 01:47:23,5
43,W_Afhandelen leads,1970-04-27 01:47:24,5
44,W_Afhandelen leads,1970-04-27 01:47:25,5
45,A_PREACCEPTED,1970-04-27 01:47:26,5
46,W_Completeren aanvraag,1970-04-27 01:47:27,5
47,W_Afhandelen leads,1970-04-27 01:47:28,5
48,W_Completeren aanvraag,1970-04-27 01:47:29,5
49,W_Completeren aanvraag,1970-04-27 01:47:30,5
50,W_Completeren aanvraag,1970-04-27 01:47:31,5
51,W_Completeren aanvraag,1970-04-27 01:47:32,5
52,W_Completeren aanvraag,1970-04-27 01:47:33,5
53,A_CANCELLED,1970-04-27 01:47:34,5
54,W_Completeren aanvraag,1970-04-27 01:47:35,5
55,A_SUBMITTED,1970-04-27 01:47:36,6
56,A_PARTLYSUBMITTED,1970-04-27 01:47:37,6
57,A_DECLINED,1970-04-27 01:47:38,6
58,A_SUBMITTED,1970-04-27 01:47:39,7
59,A_PARTLYSUBMITTED,1970-04-27 01:47:40,7
60,W_Afhandelen leads,1970-04-27 01:47:41,7
61,W_Afhandelen leads,1970-04-27 01:47:42,7
62,A_DECLINED,1970-04-27 01:47:43,7
63,W_Afhandelen leads,1970-04-27 01:47:44,7
64,A_SUBMITTED,1970-04-27 01:47:45,8
